Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Parallax,W,W',q,q',Cloud Level,Seen
54,2457663.24061,51.87967,-0.41748,0.741,2457663.2312,2457663.25236,30.46885,1.97537,259.84,-2.08621,266.89502,0.0027,0.9983,8.13933,4.06158,7.05502,54.35385,0.14917,0.14925,-0.68483,-0.68478,1,Not_seen
55,2457663.24138,53.95763,-1.08271,0.741,2457663.23206,2457663.25302,30.18527,1.83404,259.41954,-1.9695,266.65887,0.0027,0.9983,8.17652,3.80354,7.23933,54.3581,0.15055,0.15062,-0.70979,-0.70975,1,Not_seen
56,2457693.20305,51.50853,-0.12574,1.703,2457693.18665,2457693.22355,53.14232,3.53361,242.62946,-3.42852,251.03879,0.00272,0.98993,10.91333,6.96212,8.40932,53.81717,0.26518,0.26543,-0.32479,-0.32464,0.5,Not_seen
57,2457693.20375,51.39148,-0.29825,1.704,2457693.18735,2457693.22426,53.14948,3.54532,242.69518,-3.43827,251.09412,0.00272,0.98993,10.91903,6.98358,8.39894,53.81648,0.26545,0.26571,-0.32249,-0.32233,0.5,Not_seen
58,2457693.20082,53.95763,-1.08271,1.701,2457693.18424,2457693.22155,53.7347,3.30964,241.05043,-3.24454,249.79337,0.00272,0.98993,10.92304,6.55418,8.74294,53.82977,0.26571,0.26595,-0.36527,-0.36513,0.5,Not_seen
59,2457722.17134,51.38333,-0.1,0.671,2457722.15968,2457722.18593,37.7987,2.19187,237.61673,-2.15969,237.07338,0.00271,0.9836,4.38534,4.35156,-0.54335,54.04397,0.04311,0.04313,-0.72143,-0.72142,0,Not_seen
60,2457722.16606,53.95763,-1.08271,0.666,2457722.15337,2457722.18193,41.1322,2.20233,235.20844,-2.14963,234.89781,0.00271,0.9836,4.36302,4.35195,-0.31063,54.04275,0.04267,0.04269,-0.72167,-0.72165,0.5,Not_seen
61,2457723.18269,51.50853,-0.12574,1.683,2457723.15884,2457723.2125,77.27353,4.74836,230.76965,-4.46572,240.01396,0.0027,0.98351,13.04499,9.21408,9.24431,54.09717,0.38036,0.38086,-0.03184,-0.03156,0,Seen
62,2457753.19233,53.58333,-2.43333,1.692,2457753.16055,2457753.23206,102.97265,5.90559,226.90766,-5.42477,237.64337,0.00264,0.98082,15.59662,11.33036,10.73572,55.14477,0.55321,0.55413,0.27843,0.27894,1,Not_seen
63,2457753.19287,51.50853,-0.12574,1.693,2457753.16215,2457753.23126,99.52292,6.16579,229.19922,-5.63729,239.37967,0.00264,0.98082,15.57514,11.80307,10.18046,55.11853,0.55144,0.55239,0.3247,0.32523,1,Not_seen
64,2457753.18713,53.95763,-1.08271,1.687,2457753.15522,2457753.22701,103.38001,5.84013,226.47876,-5.36637,237.26755,0.00264,0.98082,15.54381,11.20651,10.78879,55.14902,0.54954,0.55044,0.26398,0.26448,1,Seen
65,2457782.20873,51.38333,-0.1,0.709,2457782.19254,2457782.22897,52.45432,3.31927,240.74862,-3.22201,244.7982,0.00259,0.98239,7.69218,6.54128,4.04958,56.55567,0.13865,0.13879,-0.4433,-0.44322,1,Not_seen
66,2457782.20738,53.69076,-1.62907,0.707,2457782.19055,2457782.22843,54.54698,3.20903,238.96764,-3.12856,243.34258,0.00259,0.98239,7.69971,6.33759,4.37493,56.56117,0.13894,0.13907,-0.46349,-0.46341,1,Not_seen
67,2457782.20513,53.95763,-1.08271,0.705,2457782.18826,2457782.22622,54.6615,3.1858,238.75042,-3.10939,243.14492,0.00259,0.98239,7.67604,6.29519,4.3945,56.56127,0.13809,0.13821,-0.46825,-0.46818,0.5,Not_seen
68,2457783.2308,51.38333,-0.1,1.731,2457783.1938,2457783.27705,119.87762,8.43238,238.94632,-7.56807,250.96714,0.00256,0.98268,19.98913,16.00045,12.02082,56.55328,0.92821,0.93045,0.94829,0.94946,1,Not_seen
69,2457783.22791,53.95763,-1.08271,1.728,2457783.18964,2457783.27575,123.99534,8.07675,236.90399,-7.27998,249.72858,0.00256,0.98268,19.9826,15.35672,12.82458,56.60282,0.92843,0.93057,0.88403,0.88515,1,Not_seen
70,2457812.25816,52.48142,-1.89983,1.758,2457812.23444,2457812.2878,76.84027,5.48219,254.5149,-5.11109,263.40338,0.0025,0.98813,13.82015,10.59328,8.88848,58.32088,0.46,0.46074,0.15196,0.15239,0.5,Not_seen
71,2457812.25442,51.11303,-0.18312,1.754,2457812.2311,2457812.28358,75.56842,5.57942,254.99203,-5.18578,263.57033,0.0025,0.98813,13.75716,10.76521,8.5783,58.30954,0.45574,0.4565,0.16672,0.16715,1,Not_seen
72,2457812.2604,53.41058,-2.97794,1.76,2457812.23641,2457812.29038,77.72511,5.41303,254.17563,-5.05559,263.27076,0.0025,0.98813,13.85938,10.46862,9.09514,58.32865,0.46266,0.4634,0.14102,0.14144,0.5,Seen
