,Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source
111,111,1861-08-07 17:34:09.983986,38.0,23.7,1.732,2400995.22466,2400995.24131,23.96793,2.07895,277.341,-1.95206,292.53729,0.00248,1.01134,15.7188,4.03102,15.19629,0.0187,58.94921,0.60062,0.601,-0.42506,-0.42485,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
112,112,1921-12-30 18:16:22.367997,-33.9,18.5,1.761,2423054.24686,2423054.27951,47.0286,4.52058,254.12919,-3.76509,238.7159,0.00268,0.98079,17.48705,8.28567,-15.41329,0.02311,54.52693,0.68657,0.68742,0.04774,0.04821,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
113,113,1865-06-24 18:07:39.648000,38.0,23.7,1.755,2402412.24058,2402412.27375,47.76612,4.32468,287.29278,-3.55048,303.62345,0.00257,1.01422,18.11839,7.87516,16.33067,0.02479,56.94652,0.7693,0.77026,0.05152,0.05204,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
114,114,1922-01-29 18:08:54.816009,-33.9,18.5,2.756,2423084.24282,2423084.27291,43.32531,4.3229,262.8159,-3.67566,245.41598,0.00271,0.9826,19.13719,7.99856,-17.39992,0.02763,53.8437,0.8107,0.81166,0.08604,0.08655,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
115,115,1861-10-05 16:09:57.312015,38.0,23.7,1.674,2401054.16538,2401054.18382,26.55005,2.13958,246.16951,-2.31686,265.58684,0.0024,0.99694,19.91736,4.45645,19.41733,0.02991,61.08919,0.99555,0.99621,-0.17112,-0.17077,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
116,116,1864-08-04 17:45:17.856002,38.0,23.7,2.74,2402088.2267,2402088.25616,42.41491,4.0811,272.53127,-3.41376,294.80649,0.00272,1.01172,23.48684,7.49486,22.27522,0.04142,53.81657,1.21475,1.2161,0.24406,0.24474,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
117,117,1998-12-19 14:50:28.895997,31.9,35.8,1.618,2451167.10507,2451167.13503,43.15434,3.89277,243.40462,-3.63433,244.56516,0.00265,0.98131,7.61591,7.52709,1.16053,0.00441,55.13015,0.1325,0.13264,-0.34849,-0.3484,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
118,118,1996-01-22 01:39:14.687999,32.8,-113.2,2.069,2450104.53486,2450104.61148,110.33056,11.25413,249.63243,-9.63066,252.49792,0.00242,0.98188,21.07825,20.88479,2.86548,0.03345,59.48358,1.08436,1.08802,1.51729,1.51915,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
119,119,1996-01-22 01:57:55.296003,34.1,-118.3,2.082,2450104.54711,2450104.62537,112.69753,11.30031,249.03969,-9.67822,252.49277,0.00242,0.98188,21.25763,20.97854,3.45308,0.03402,59.46563,1.10235,1.10609,1.53581,1.53771,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
120,120,1990-05-26 01:26:37.823989,35.6,-83.5,2.06,2448037.52422,2448037.60509,116.4589,10.45363,294.92168,-9.08912,304.19067,0.00241,1.01079,21.60985,19.54275,9.26898,0.03514,59.74808,1.14415,1.14776,1.4134,1.41522,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
121,121,1862-04-29 17:30:04.608008,38.0,23.7,1.729,2401260.21469,2401260.24738,47.08477,4.0714,291.70492,-3.8677,291.84922,0.00271,1.00514,7.94041,7.93911,0.1443,0.00479,53.9549,0.14094,0.1411,-0.30211,-0.30202,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
122,122,1995-01-03 00:54:26.784011,33.0,-106.0,2.038,2449720.5031,2449720.58119,112.45122,11.06564,243.75499,-9.53456,248.83523,0.00246,0.98103,21.2107,20.6002,5.08023,0.03387,58.42692,1.07837,1.08189,1.48578,1.48757,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
