Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility
235,2423143.20887,-33.9,18.5,1.709,2423143.19853,2423143.22181,33.51667,3.21057,281.49212,-3.8599,271.34082,0.00268,0.99618,12.36552,7.07047,-10.1513,0.0116,54.57972,0.34497,0.34528,-0.26684,-0.26667,0,Not_seen,Not_seen,Not_seen,0
236,2451640.20644,-33.9,18.4,1.706,2451640.19152,2451640.2251,48.36667,4.79453,281.52113,-5.27717,274.14506,0.00249,0.99827,12.47816,10.0717,-7.37608,0.01181,58.57394,0.37696,0.3775,0.05194,0.05226,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
237,2452880.18497,32.4,36.2,1.685,2452880.17043,2452880.20315,47.11667,4.77152,277.25795,-5.13548,284.90585,0.00249,1.00773,12.5097,9.907,7.6479,0.01187,58.65996,0.37942,0.37996,0.0369,0.03722,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
238,2452909.56552,41.8,-111.8,1.066,2452909.5541,2452909.5798,37.01667,3.17129,261.28198,-3.90199,271.59812,0.00243,1.00014,12.50257,7.07328,10.31613,0.01186,60.1666,0.38872,0.3891,-0.24107,-0.24085,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
239,2452024.19072,31.9,35.8,1.691,2452024.17505,2452024.2103,50.76667,5.01301,281.90728,-5.39915,289.0083,0.00256,1.00345,12.59754,10.41216,7.10102,0.01204,57.01045,0.37393,0.37447,0.08422,0.08454,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
240,2452024.1911,32.6,35.9,1.691,2452024.17543,2452024.21068,50.76667,4.96579,281.95757,-5.35977,289.20359,0.00256,1.00345,12.6087,10.32556,7.24603,0.01206,57.01475,0.37462,0.37515,0.07596,0.07628,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
241,2409883.17022,50.6,5.7,1.67,2409883.14753,2409883.19858,73.5,4.70631,231.57644,-5.07126,239.85527,0.00268,0.98221,12.80518,9.77756,8.27883,0.01244,54.45667,0.369,0.36948,0.0179,0.01818,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
242,2451197.26041,-33.9,18.4,1.76,2451197.24963,2451197.27388,34.91667,3.14163,252.95725,-3.71046,242.17634,0.00257,0.9814,12.76861,6.85209,-10.7809,0.01236,56.93505,0.3836,0.38395,-0.26616,-0.26596,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
243,2451108.14319,31.8,34.7,1.643,2451108.12692,2451108.16353,52.71667,5.31377,253.38494,-5.72808,260.85997,0.00272,0.99281,13.3276,11.04186,7.47503,0.01347,53.69435,0.39399,0.39456,0.15884,0.15917,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
244,2445763.49795,37.2,-84.1,1.998,2445763.48106,2445763.51906,54.71667,5.17977,258.22011,-5.64815,266.17859,0.00271,0.98907,13.43099,10.82792,7.95848,0.01367,53.79488,0.40085,0.40141,0.14142,0.14174,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
245,2404568.24823,38.0,23.7,1.748,2404568.23023,2404568.27072,58.3,5.15688,291.79238,-5.20231,300.45674,0.00272,1.0098,13.49738,10.35919,8.66435,0.01381,53.73303,0.40434,0.4049,0.09656,0.09689,0,Not_seen,Not_seen,Not_seen,0
246,2450813.26016,-33.9,18.4,1.76,2450813.25024,2450813.27256,32.13333,2.79504,251.1392,-3.40167,239.07452,0.0025,0.98093,13.55764,6.19671,-12.06468,0.01393,58.47492,0.44394,0.44431,-0.29689,-0.29668,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
247,2453323.11935,32.0,35.9,1.619,2453323.1095,2453323.13167,31.91667,2.5775,238.61094,-3.65833,250.83407,0.00243,0.98708,13.71604,6.23584,12.22314,0.01426,60.33951,0.46881,0.46918,-0.27875,-0.27854,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
248,2452968.51212,41.5,-112.0,2.012,2452968.50135,2452968.52558,34.88333,2.2425,231.68344,-3.44267,245.29665,0.00239,0.98494,14.7468,5.68517,13.61321,0.01647,61.21926,0.54941,0.54979,-0.28823,-0.28801,0,Not_seen,Not_seen,Not_seen,0
249,2445674.44783,37.2,-84.1,1.948,2445674.42977,2445674.47042,58.53333,4.59808,233.03171,-5.49168,245.95464,0.00262,0.98286,16.38179,10.08977,12.92293,0.0203,55.74756,0.61659,0.6174,0.18967,0.19012,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
250,2452998.16031,49.6,8.7,1.66,2452998.14495,2452998.17951,49.76667,2.35735,220.89886,-3.78368,237.52664,0.00242,0.98129,17.71686,6.14104,16.62778,0.02371,60.40457,0.78053,0.7811,-0.11586,-0.11555,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
251,2448155.162,31.8,34.7,1.662,2448155.15355,2448155.17256,27.36667,2.50474,254.91412,-3.41847,273.32662,0.00265,1.00172,19.3334,5.92321,18.4125,0.0282,55.31978,0.84993,0.85053,-0.10063,-0.10032,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
252,2443577.44277,45.1,-64.2,0.943,2443577.42674,2443577.46281,51.95,4.29043,265.28297,-4.89551,268.73971,0.00252,0.99067,9.81349,9.18594,3.45674,0.00732,58.04119,0.23138,0.23168,-0.12261,-0.12244,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
253,2451551.25297,6.5,3.4,1.753,2451551.23985,2451551.26938,42.51667,4.74499,248.97855,-5.17672,248.00021,0.00269,0.98072,9.9697,9.92171,-0.97833,0.00755,54.22542,0.22309,0.22338,-0.05402,-0.05384,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
254,2449719.67659,19.8,-155.5,1.177,2449719.66286,2449719.69376,44.5,4.69146,249.51948,-5.10136,247.41311,0.00244,0.98092,10.01624,9.79281,-2.10637,0.00762,59.93067,0.24887,0.24922,-0.05146,-0.05125,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
255,2451551.24604,34.0,-6.8,1.746,2451551.23145,2451551.26428,47.28333,4.13257,241.60313,-4.76812,246.12068,0.00269,0.98072,9.97941,8.90068,4.51755,0.00756,54.26857,0.2237,0.22396,-0.15575,-0.1556,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
256,2403003.17715,38.0,23.7,1.677,2403003.16102,2403003.1973,52.25,4.833,252.15398,-5.07146,253.73741,0.00261,0.98375,10.02992,9.90446,1.58344,0.00764,55.93313,0.2329,0.23322,-0.04985,-0.04966,0,Not_seen,Not_seen,Not_seen,0
257,2402619.16354,38.0,23.7,1.664,2402619.14661,2402619.1847,54.85,4.92837,247.176,-5.11133,247.64167,0.00254,0.98145,10.05046,10.03969,0.46566,0.00767,57.38176,0.23991,0.24025,-0.03213,-0.03192,0,Not_seen,Not_seen,Not_seen,0
258,2452821.15505,33.7,58.4,1.655,2452821.13951,2452821.17447,50.33333,4.31515,297.96603,-4.84429,302.08225,0.00263,1.01411,10.04002,9.15944,4.11622,0.00766,55.54641,0.23175,0.23203,-0.12504,-0.12487,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
259,2449897.42789,-30.1,-71.0,0.928,2449897.41236,2449897.4473,50.31667,4.83004,294.18194,-5.2043,293.93325,0.0027,1.01401,10.03741,10.03434,-0.2487,0.00765,54.03576,0.22533,0.22563,-0.04141,-0.04123,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
260,2422729.43889,42.3,-71.1,0.939,2422729.42154,2422729.46057,56.2,4.89683,254.36272,-5.17571,254.49403,0.00269,0.98411,10.07339,10.07254,0.13131,0.00771,54.28852,0.22801,0.22832,-0.03598,-0.0358,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
261,2445763.16866,15.6,35.6,1.669,2445763.15666,2445763.18366,38.88333,4.42075,260.94399,-4.96901,264.54477,0.00272,0.98896,10.05505,9.38977,3.60078,0.00768,53.81578,0.2252,0.22548,-0.10594,-0.10578,0,Not_seen,Not_seen,Not_seen,0
262,2443577.46814,41.3,-72.9,0.968,2443577.45225,2443577.48801,51.5,4.56895,265.80812,-5.12133,268.71139,0.00252,0.99068,10.11485,9.69028,2.90327,0.00777,58.00198,0.24561,0.24594,-0.06366,-0.06346,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
263,2446973.62336,39.8,-105.0,1.123,2446973.60572,2446973.64541,57.15,4.32648,301.89173,-4.87753,306.07404,0.00271,1.01394,10.1078,9.20402,4.18231,0.00776,53.85103,0.22772,0.22798,-0.12301,-0.12285,0,Not_seen,Not_seen,Not_seen,0
264,2443577.47046,42.7,-73.8,0.97,2443577.45428,2443577.49067,52.4,4.54106,265.61678,-5.10179,268.7928,0.00252,0.99068,10.15124,9.64285,3.17602,0.00783,58.00264,0.24738,0.24771,-0.06734,-0.06714,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
265,2446973.62925,33.5,-112.1,1.129,2446973.61264,2446973.65001,53.81667,4.5898,299.56618,-5.11898,302.44368,0.00271,1.01394,10.12524,9.70878,2.87749,0.00779,53.83114,0.22842,0.2287,-0.07211,-0.07194,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
266,2450842.57046,34.2,-118.1,1.07,2450842.55462,2450842.59025,51.31667,4.78931,249.92014,-5.26773,251.75969,0.00244,0.98256,10.22347,10.05705,1.83955,0.00794,59.79195,0.25864,0.25902,-0.0192,-0.01897,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
267,2420573.24817,49.4,8.7,1.748,2420573.22896,2420573.27219,62.25,4.84256,271.45445,-5.26488,273.13712,0.00265,0.9924,10.24618,10.10743,1.68267,0.00797,55.03836,0.23914,0.23946,-0.02582,-0.02562,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
