hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-5,2010-04-14 12:29:00,2010-04-15,South Africa,Cape Town,Western Province,hazy,partly cloudy,False,False,False,False
31-5,2010-04-14 12:29:00,2010-04-15,Tanzania,Daressalaam,Tanzania,very hazy,partly cloudy,False,False,False,False
31-5,2010-04-14 12:29:00,2010-04-15,United Kingdom,York,North Yorkshire,clear,partly cloudy,True,True,True,False
31-5,2010-04-14 12:29:00,2010-04-15,United States,Blacksburg,Virginia,hazy,partly cloudy,True,True,False,False
31-6,2010-05-14 01:04:00,2010-05-14,Algeria,Ghardaia,Ghardaia,hazy,clear,False,False,False,False
31-6,2010-05-14 01:04:00,2010-05-14,Germany,Moerlenbach,Hessen,hazy,totally cloudy,False,False,False,False
31-6,2010-05-14 01:04:00,2010-05-14,Malaysia,Melaka,Melaka,hazy,totally cloudy,False,False,False,False
31-6,2010-05-14 01:04:00,2010-05-14,Pakistan,karachi,sindh,hazy,clear,False,False,False,False
31-6,2010-05-14 01:04:00,2010-05-14,Saudi Arabia,Dammam,Eastern Province,very hazy,totally cloudy,False,False,False,False
31-6,2010-05-14 01:04:00,2010-05-14,Saudi Arabia,Halat Ammar,Tabouk,hazy,partly cloudy,False,False,False,False
31-6,2010-05-14 01:04:00,2010-05-14,Senegal,Dakar,Senegal,very hazy,partly cloudy,False,False,False,False
31-6,2010-05-14 01:04:00,2010-05-14,United Kingdom,York,North Yorkshire,hazy,partly cloudy,False,False,False,False
31-6,2010-05-14 01:04:00,2010-05-14,United States,Blacksburg,VA,very hazy,totally cloudy,False,False,False,False
31-6,2010-05-14 01:04:00,2010-05-15,Algeria,Ghardaia,Ghardaia,superb,clear,True,True,False,False
31-6,2010-05-14 01:04:00,2010-05-15,Indonesia,Surakarta,Central Java,very hazy,totally cloudy,False,False,False,False
31-6,2010-05-14 01:04:00,2010-05-15,Malaysia,Jasin,Melaka,hazy,partly cloudy,True,False,True,False
31-6,2010-05-14 01:04:00,2010-05-15,Nigeria,Agege,Lagos,hazy,partly cloudy,True,False,False,False
31-6,2010-05-14 01:04:00,2010-05-15,Nigeria,KADUNA,KADUNA,clear,clear,True,True,False,False
31-6,2010-05-14 01:04:00,2010-05-15,Pakistan,karachi,sindh,hazy,clear,True,False,False,False
31-6,2010-05-14 01:04:00,2010-05-15,Somalia,Garoowe,Puntland State,clear,partly cloudy,True,False,False,False
31-6,2010-05-14 01:04:00,2010-05-15,South Africa,Cape Town,Western Province,clear,clear,True,True,False,False
31-6,2010-05-14 01:04:00,2010-05-15,Tanzania,Daressalaam,Tanzania,clear,clear,True,False,False,False
31-6,2010-05-14 01:04:00,2010-05-15,Trinidad And Tobago,Cunupia,Chaguanas,clear,clear,True,False,False,False
31-6,2010-05-14 01:04:00,2010-05-15,United Kingdom,York,North Yorkshire,clear,clear,True,True,True,False
31-7,2010-06-12 11:15:00,2010-06-12,Nigeria,Bauchi,Bauchi,clear,totally cloudy,False,False,False,False
31-7,2010-06-12 11:15:00,2010-06-12,United States,Blacksburg,Virginia,hazy,totally cloudy,False,False,False,False
31-7,2010-06-12 11:15:00,2010-06-12,United States,Tucson,AZ,hazy,partly cloudy,False,False,False,False
31-7,2010-06-12 11:15:00,2010-06-13,Bangladesh,Dhaka,Bangladesh,clear,clear,True,False,False,False
31-7,2010-06-12 11:15:00,2010-06-13,Indonesia,Surakarta,Central Java,very hazy,totally cloudy,False,False,False,False
31-7,2010-06-12 11:15:00,2010-06-13,Jordan,Amman,Amman,hazy,clear,True,True,False,False
31-7,2010-06-12 11:15:00,2010-06-13,Malaysia,Tg. Biadara,Malacca,hazy,partly cloudy,True,False,True,False
31-7,2010-06-12 11:15:00,2010-06-13,Nigeria,Bauchi,Bauchi,hazy,partly cloudy,True,False,False,False
31-7,2010-06-12 11:15:00,2010-06-13,Nigeria,Kaduna,Kaduna,clear,clear,True,True,False,False
31-7,2010-06-12 11:15:00,2010-06-13,Nigeria,Ikorodu,Lagos,hazy,partly cloudy,True,False,False,False
31-7,2010-06-12 11:15:00,2010-06-13,Pakistan,karachi,sindh,very hazy,totally cloudy,False,False,False,False
31-7,2010-06-12 11:15:00,2010-06-13,Saudi Arabia,Halat Ammar,Tabouk,hazy,partly cloudy,True,True,True,False
31-7,2010-06-12 11:15:00,2010-06-13,Saudi Arabia,Dammam,Eastern Province,hazy,partly cloudy,False,True,False,False
31-7,2010-06-12 11:15:00,2010-06-13,Senegal,Dakar,Senegal,hazy,partly cloudy,True,False,False,False
31-7,2010-06-12 11:15:00,2010-06-13,South Africa,Cape Town,Western Province,very hazy,totally cloudy,True,True,False,False
31-7,2010-06-12 11:15:00,2010-06-13,Tanzania,Daressalaam,Tanzania,clear,partly cloudy,True,True,False,False
31-7,2010-06-12 11:15:00,2010-06-13,Trinidad And Tobago,Cunupia,Chaguanas,clear,clear,True,False,False,False
31-7,2010-06-12 11:15:00,2010-06-13,United Arab Emirates,Abu Dhabi,Abu Dhabi,hazy,clear,True,True,False,False
31-7,2010-06-12 11:15:00,2010-06-13,United Kingdom,London,England,clear,totally cloudy,False,False,False,False
31-7,2010-06-12 11:15:00,2010-06-13,United Kingdom,York,North Yorkshire,very hazy,totally cloudy,False,False,False,False
31-7,2010-06-12 11:15:00,2010-06-13,United States,Blacksburg,Virginia,hazy,partly cloudy,True,True,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Algeria,Ghardaia,Ghardaia,very hazy,partly cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Bangladesh,Dhaka,Dhaka,clear,partly cloudy,False,False,False,False
31-8,2010-07-11 19:40:00,2010-07-12,Germany,Munich,Bavaria,hazy,partly cloudy,False,False,False,False
