hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-May,14/04/2010 12:29,15/04/2010,Nigeria,Oshodi,Lagos,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-May,14/04/2010 12:29,15/04/2010,Pakistan,Karachi,Sindh,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-May,14/04/2010 12:29,15/04/2010,Saudi Arabia,Halat Ammar,Tabouk,hazy,partly cloudy,TRUE,TRUE,TRUE,FALSE
31-May,14/04/2010 12:29,15/04/2010,Saudi Arabia,Halat Ammar,Tabouk,hazy,partly cloudy,TRUE,TRUE,TRUE,FALSE
31-May,14/04/2010 12:29,15/04/2010,Senegal,Dakar,Senegal,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-May,14/04/2010 12:29,15/04/2010,South Africa,Cape Town,Western Province,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-May,14/04/2010 12:29,15/04/2010,Tanzania,Daressalaam,Tanzania,very hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-May,14/04/2010 12:29,15/04/2010,United Kingdom,York,North Yorkshire,clear,partly cloudy,TRUE,TRUE,TRUE,FALSE
31-May,14/04/2010 12:29,15/04/2010,United States,Blacksburg,Virginia,hazy,partly cloudy,TRUE,TRUE,FALSE,FALSE
31-6,14/05/2010 01:04,14/05/2010,Algeria,Ghardaia,Ghardaia,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,14/05/2010,Germany,Moerlenbach,Hessen,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,14/05/2010,Malaysia,Melaka,Melaka,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,14/05/2010,Pakistan,karachi,sindh,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,14/05/2010,Saudi Arabia,Dammam,Eastern Province,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,14/05/2010,Saudi Arabia,Halat Ammar,Tabouk,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-6,14/05/2010 01:04,14/05/2010,Senegal,Dakar,Senegal,very hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
