Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source,Cloud cover,Distance
1266,2459908.98245,2.78319,102.19253,1.526,2459908.9566,2459909.01476,83.75,9.336,242.19488,-9.52779,249.37985,0.00243,0.98493,20.17422,18.8638,7.18497,0.03068,59.5912,0.99608,0.99888,1.2699,1.27134,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,7,54983.95566333882
1267,2459909.23957,35.77743,-5.80323,1.783,2459909.21605,2459909.26897,76.2,5.96244,229.18452,-7.15919,249.42336,0.00243,0.98494,24.08208,13.12163,20.23884,0.04352,60.09288,1.42502,1.4276,0.91027,0.91152,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-3,-3.0
1268,2459909.24112,10.51829,7.43599,1.785,2459909.2116,2459909.27803,95.66667,10.37902,239.34058,-10.64058,250.53139,0.00243,0.98494,23.78337,21.0196,11.19081,0.04246,59.43121,1.37508,1.37936,1.67574,1.67783,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,7,9213.902378800796
1269,2459909.08503,25.26535,55.29249,1.629,2459909.06144,2459909.11451,76.43333,7.20075,235.02554,-8.00267,250.70848,0.00243,0.98493,21.80916,15.20341,15.68294,0.03579,59.92814,1.16861,1.17117,0.99179,0.99308,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0,355888.4987533172
1270,2459909.173,52.93938,0.49017,1.717,2459909.16031,2459909.18887,41.11667,1.47689,215.73511,-3.14281,238.78862,0.00243,0.98493,23.50326,4.61969,23.05351,0.04148,60.39385,1.36509,1.36571,0.03086,0.03116,0.5,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75,ICOP23,0,21900.124349428395
1271,2459909.44773,37.22966,-80.41368,1.991,2459909.42084,2459909.48133,87.1,6.58635,226.96272,-7.9226,249.74372,0.00243,0.98495,26.95604,14.50895,22.781,0.05432,60.03195,1.77697,1.78053,1.21671,1.21837,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-3,-3.0
1272,2459906.03947,25.26535,55.29249,28.089,2459906.06176,2459906.01161,-72.21667,-9.08619,257.11299,5.80617,244.4289,0.00249,0.9854,19.53528,14.89236,-12.68409,0.02878,58.22764,0.91321,0.91076,0.82963,0.82835,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1273,2459906.40507,37.22966,-80.41368,28.455,2459906.42174,2459906.38424,-54.0,-6.04939,252.39789,3.42584,241.22522,0.00247,0.98528,14.63755,9.47523,-11.17267,0.01623,58.90692,0.5209,0.51996,0.07473,0.0742,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1274,2459907.06456,26.1742,50.54734,29.114,2459907.07366,2459907.05319,-29.46667,-3.86241,248.68788,1.8695,246.1233,0.00246,0.98511,6.27888,5.73191,-2.56458,0.003,59.53244,0.0973,0.09718,-0.54969,-0.54976,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,-4,-4.0
1275,2459906.93167,-7.56925,110.82845,28.981,2459906.94302,2459906.91749,-36.76667,-5.12722,249.44885,2.95897,249.82637,0.00246,0.98514,8.09497,8.08618,0.37752,0.00498,59.34901,0.16111,0.16087,-0.27508,-0.27523,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,-4,-4.0
